Prop ID,Prop Name,Prop City,Live Date,RM,PM,Total Inventory,Avali,Inv Status,Head,MTD - FH Occ,Jan-2026 Ach ADR,STLM ADR,Feb-2026 MTD ADR,LM Vs CM ADR MTD,STLM,Feb-2026 MTD Rev,LM Vs CM MTD,Jan-2026 Ach Rev,Monthly Target,Monthly RR,Achievement,Target delta,Grid Status,MTD CTF,Bucket,CM Pricing Forms Count,L30D Pricing Forms Count,Days Since Last Pricing Form,MM,City Tag,Set,CAT
1044059,FabHotel Madhura Residency,Bangalore,28-Oct-2025,Dev Raj,Keshav Gauba,15,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,SoldOut,,0-10%,#N/A,,,Bapuji Nagar,Metro,PostSet,Category B
1044061,FabHotel Supreme Seven Boutique,Bangalore,28-Oct-2025,Dev Raj,Keshav Gauba,19,0,Churned,Arun Biyani,0.00%,1234,1145.5,#DIV/0!,-,0.07,0,-100.0% ▼,0.12,0,0,-,0,Live,,0-10%,#N/A,,,Horamavu,Metro,PostSet,Category B
1044064,FabHotel Z Heart,New Delhi,28-Oct-2025,Aditya,Keshav Gauba,15,15,Live,Arun Biyani,0.00%,1135.2,1052.8,1027.3,-2.4% ▼,0.05,0.04,-21.9% ▼,0.19,0.36,0.12,31.96%,-0.24,PRICE_DECREASE_10_PERCENT_3PM,,0-10%,0,1,15,Tuglakabad Railway Staion,Metro,PostSet,Category C
1044863,FabHotel Super 3 Premium Inactive,Varanasi,28-Oct-2025,Vibhor Agarwal,Ashish Kumar,23,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,No Grid,,0-10%,#N/A,,,Mahmoorganj,Pilgrim,PreSet,Category C
1044864,FabHotel The Taj Majestic,Agra,28-Oct-2025,Akhlesh,Keshav Gauba,12,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,Live,,0-10%,#N/A,,,Shilpgram Road,Leisure,PostSet,Category C
1044865,FabHotel Citi Residenci,Varanasi,28-Oct-2025,Harsh Gupta,Keshav Gauba,10,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,No Grid,,0-10%,#N/A,,,Kakarmata,Pilgrim,PostSet,Category C
1044867,FabHotel Stay Inn I,Noida,28-Oct-2025,Sanskar,Keshav Gauba,14,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,No Grid,,0-10%,#N/A,,,Sector 37,Business,PostSet,Category C
1044868,FabHotel Srinidhi Stay Inn LEC,Bangalore,28-Oct-2025,Dev Raj,Keshav Gauba,10,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,Live,,0-10%,#N/A,,,HSR Layout,Metro,PostSet,Category C
1044871,FabHotel Groom Room,Noida,28-Oct-2025,Sanskar,Keshav Gauba,20,0,Churned,Arun Biyani,0.00%,1145,1145,#DIV/0!,-,0.05,0,-100.0% ▼,0.05,0,0,-,0,No Grid,,0-10%,#N/A,,,Sector 63,Business,PostSet,Category C
1044872,FabHotel The Ashvem Horizon,Goa,28-Oct-2025,Dev Raj,Keshav Gauba,10,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,Live,,0-10%,#N/A,,,Ashvem Beach,Leisure,PostSet,Category C
